year,netprofitmargin,grossprofit,revenue,netincome,costandexpenses,costofgoodsandservices,netproft,ebit,interest,ebt,proftaftertax,grossprofitmargin,Sector
2022,248.840945604774,21658926.7608,21785000,54210000,232033.5857,126073.2392,18165356.7718,21426893.1751,55885.2083,21371007.9668,3205651.195,99.421284190039,2
2021,246.634255796559,15603443.569,16044000,39570000,441767.1323,440556.431,12859793.3178,15161676.4367,32507.8275,15129168.6092,2269375.2914,97.2540736038394,0
2020,127.515877985509,21888726.9518,22358000,28510000,564778.0855,469273.0482,18116877.8683,21323948.8663,9974.9036,21313973.9627,3197096.0944,97.9010955890509,3
2020,204.250051578296,38569491.2548,38776000,79200000,1670756.4981,206508.7452,31310976.2679,36898734.7567,62292.0886,36836442.6681,5525466.4002,99.467431542191,2
2020,260.326055648367,17113377.8008,17359000,45190000,747157.2372,245622.1992,13911117.2477,16366220.5636,200.2722,16366020.2914,2454903.0437,98.5850440739674,0
2020,97.0423570661087,51840390.4146,53049000,51480000,1322607.6525,1208609.5854,42935720.3074,50517782.7621,5170.6358,50512612.1263,7576891.8189,97.7217108986032,2
2020,196.615632554392,6203701.3984,6205000,12200000,248210.9931,1298.6016,5050646.5902,5955490.4053,13553.2403,5941937.165,891290.5748,99.9790716905721,4
2023,295.010198497587,20054532.9773,20101000,59300000,917954.8418,46467.0227,16226279.3329,19136578.1355,46837.7438,19089740.3917,2863461.0588,99.7688322834685,4
2022,110.974013834362,52300925.3988,53490000,59360000,869720.8736,1189074.6012,43632782.1795,51431204.5252,98519.6081,51332684.9171,7699902.7376,97.777015140774,2
2023,91.7248636754999,52057365.9871,52265000,47940000,2436267.7527,207634.0129,42076732.6798,49621098.2344,119059.7876,49502038.4468,7425305.767,99.6027283786473,2
2021,234.419391887808,16507880.8712,16543000,38780000,753709.7219,35119.1288,13366017.5851,15754171.1493,29444.5786,15724726.5707,2358708.9856,99.7877100356646,2
2022,258.408891488739,13298709.9767,13676000,35340000,577945.9159,377290.0233,10809169.3012,12720764.0608,4094.2947,12716669.7661,1907500.4649,97.241225334162,4
2023,103.785586576812,57029708.8962,58168000,60370000,1686858.8131,1138291.1038,47041303.5688,55342850.0831,140.0022,55342710.0809,8301406.5121,98.0430974009765,0
2021,162.427157524743,10731700.2669,10811000,17560000,241488.6616,79299.7331,8915246.8665,10490211.6053,1685.88,10488525.7253,1573278.8588,99.2664903052447,2
2023,231.637357924083,36395616.9511,37304000,86410000,245487.7266,908383.0489,30719176.9532,36150129.2245,9921.0443,36140208.1802,5421031.227,97.564917840178,3
2022,53.1903005922449,17631892.4011,17898000,9520000,351173.5102,266107.5989,14652468.8028,17280718.8909,42520.2994,17238198.5915,2585729.7887,98.5131992462845,2
2020,155.856011448027,40075212.2488,40531000,63170000,872631.185,455787.7512,33255651.4436,39202581.0638,78285.2478,39124295.816,5868644.3724,98.8754589050357,2
2020,107.84235984458,12243623.2826,12611000,13600000,505690.7174,367376.7174,9976603.4133,11737932.5652,752.079,11737180.4862,1760577.0729,97.0868549885021,3
2022,287.983425414365,9842367.3652,10136000,29190000,480733.9603,293632.6348,7954132.7114,9361633.4049,3830.215,9357803.1899,1403670.4785,97.1030718745067,2
2022,77.4765934829715,47615474.164,48918000,37900000,1477874.6323,1302525.836,39211273.3981,46137599.5317,6689.6516,46130909.8801,6919636.482,97.3373281082628,2
2022,175.254605645549,39158074.6371,39571000,69350000,1792982.573,412925.3629,31749497.7478,37365092.0641,12741.7726,37352350.2915,5602852.5437,98.9564950016426,0
2022,112.359550561798,16188368.9612,16554000,18600000,607982.8735,365631.0388,13229620.9749,15580386.0877,16126.1172,15564259.9705,2334638.9956,97.7912828391929,2
2023,217.030453535486,14876949.741,15302000,33210000,228688.6115,425050.259,12443785.394,14648261.1295,8513.6072,14639747.5223,2195962.1283,97.2222568357078,3
2022,243.138108321319,35864818.4973,36761000,89380000,481128.5781,896181.5027,30005448.1172,35383689.9192,83162.7225,35300527.1967,5295079.0795,97.5621405764261,2
2023,225.932963071227,40892609.6981,41052000,92750000,137417.8282,159390.3019,34617274.9996,40755191.8699,28985.988,40726205.8819,6108930.8823,99.6117355989964,3
2021,293.572957634291,19577671.1667,20087000,58970000,281108.7367,509328.8333,16380721.2496,19296562.43,25125.6658,19271436.7642,2890715.5146,97.4643857554637,3
2022,82.644863540539,34498080.606,35102000,29010000,970668.3699,603919.394,28435586.5673,33527412.2361,73780.9805,33453631.2556,5018044.6883,98.2795299584069,1
2023,87.4072750022343,11031020.3267,11189000,9780000,546881.8362,157979.6733,8906499.6941,10484138.4905,5903.5563,10478234.9342,1571735.2401,98.5880804960229,2
2020,197.164207702625,26077604.8543,26095000,51450000,841134.1942,17395.1457,21409202.3256,25236470.6601,49173.8064,25187296.8537,3778094.5281,99.9333391619084,2
2020,257.333400190543,39639213.3112,39886000,102640000,1484908.9326,246786.6888,32423649.6151,38154304.3786,8834.2432,38145470.1354,5721820.5203,99.381269897207,2
2020,198.990902836175,25798040.733,26162000,52060000,938169.1173,363959.267,21108263.1287,24859871.6157,26620.876,24833250.7397,3724987.611,98.6088247572816,0
2023,251.487945122566,9670543.9352,9913000,24930000,257514.1861,242456.0648,7981446.6766,9413029.7491,23092.4825,9389937.2666,1408490.59,97.5541605487743,3
2020,292.106814163304,43656539.5704,44114000,128860000,1166149.5491,457460.4296,36048443.2289,42490390.0213,80456.8108,42409933.2105,6361489.9816,98.9630039679013,2
2022,239.199126737906,33868210.4271,34812000,83270000,540926.9811,943789.5729,28253236.9832,33327283.446,88181.1128,33239102.3332,4985865.35,97.28889586091,3
2022,153.656081266587,10684950.0562,10927000,16790000,372457.3765,242049.9438,8757672.982,10312492.6797,9347.995,10303144.6847,1545471.7027,97.7848453939782,3
2021,220.63076949722,56576176.5461,57739000,127390000,2886673.6069,1162823.4539,45598623.7003,53689502.9392,44063.2918,53645439.6474,8046815.9471,97.9860692878297,2
2022,209.677419354839,42277627.2967,42966000,90090000,1624959.7272,688372.7033,34512430.3773,40652667.5695,49808.3021,40602859.2674,6090428.8901,98.3978664448634,3
2022,171.404457743507,25437704.9593,26067000,44680000,298003.7147,629295.0407,21333681.5049,25139701.2446,41252.4153,25098448.8293,3764767.3244,97.5858555234588,0
2020,173.778920308483,7570754.7808,7780000,13520000,57920.0404,209245.2192,6368788.9922,7512834.7404,20141.8084,7492692.932,1123903.9398,97.3104727609254,4
2022,190.933466359045,15617606.8108,16037000,30620000,760860.6871,419393.1892,12599177.0595,14856746.1237,34184.8772,14822561.2465,2223384.187,97.3848401247116,2
2022,66.4135635531517,38075919.2152,38456000,25540000,656655.0581,380080.7848,31784097.5243,37419264.1571,26208.2462,37393055.9109,5608958.3866,99.0116476367797,2
2022,297.273739770471,20143404.9072,20651000,61390000,618828.6022,507595.0928,16558828.2244,19524576.305,43601.9233,19480974.3817,2922146.1573,97.5420314134909,2
2023,165.650675854757,15086964.5101,15092000,25000000,721150.9773,5035.4899,12208852.2958,14365813.5328,2457.8907,14363355.6421,2154503.3463,99.9666347077922,2
2021,76.0309599064234,39664271.321,40181000,30550000,1854731.7738,516728.679,32084559.5924,37809539.5472,62998.8502,37746540.697,5661981.1046,98.7139974639755,2
2020,151.54479303352,41525359.1898,41915000,63520000,1167233.5435,389640.8102,34218630.2324,40358125.6463,100913.6082,40257212.0381,6038581.8057,99.070402456877,2
2022,197.245051510592,16898542.8797,17278000,34080000,335496.3319,379457.1203,14070810.6752,16563046.5478,9151.6358,16553894.912,2483084.2368,97.8038134025929,2
2021,223.432300445136,23104928.4123,23139000,51700000,410040.23,34071.5877,19241418.2304,22694888.1823,57925.5583,22636962.624,3395544.3936,99.8527525489433,2
2021,207.581644925525,43052112.6409,43236000,89750000,242117.7937,183887.3591,36373058.6567,42809994.8472,18161.1334,42791833.7138,6418775.0571,99.5746892425294,2
2021,192.519118034849,48987491.693,49299000,94910000,1472104.4223,311508.307,40331802.4941,47515387.2707,66207.8659,47449179.4048,7117376.9107,99.368124491369,3
2020,287.714248331807,45242888.1456,45858000,131940000,2083434.2999,615111.8544,36589279.1881,43159453.8457,113243.0362,43046210.8095,6456931.6214,98.6586596572027,4
2020,195.62697679901,49835799.4318,50903000,99580000,162069.6502,1067200.5682,42184275.9119,49673729.7816,45169.8852,49628559.8964,7444283.9845,97.9034623338507,2
2021,263.220592357283,42375118.1933,42812000,112690000,1915062.7633,436881.8067,34362682.6885,40460055.43,33369.9141,40426685.5159,6064002.8274,98.9795342270859,4
2023,168.254832561938,17966660.5733,18365000,30900000,831466.7523,398339.4267,14536855.476,17135193.821,33010.9081,17102182.9129,2565327.4369,97.8309859695072,2
2022,124.355841579368,40346048.5798,41333000,51400000,174407.174,986951.4202,34086604.9716,40171641.4058,69753.2039,40101888.2019,6015283.2303,97.6121950494762,3
2022,288.109589041096,36433189.8267,36500000,105160000,687297.9159,66810.1733,30335130.9744,35745891.9108,57502.5291,35688389.3817,5353258.4073,99.8169584293151,1
2021,150.334338534155,37662679.6445,38135000,57330000,296749.5823,472320.3555,31731940.6164,37365930.0622,34235.2194,37331694.8428,5599754.2264,98.7614518014947,2
2020,177.681867817586,18906145.6134,19231000,34170000,463598.8786,324854.3866,15642342.8562,18442546.7348,39790.4334,18402756.3014,2760413.4452,98.3107774603505,2
2020,76.4671422171681,28797569.1719,29019000,22190000,198200.7464,221430.8281,24301573.5097,28599368.4255,9281.9435,28590086.482,4288512.9723,99.2369453527,4
2023,288.351944551405,51500471.9758,51940000,149770000,769735.7696,439528.0242,43115846.4364,50730736.2062,6210.9869,50724525.2193,7608678.7829,99.1537773889103,1
2023,211.935958520179,57080272.8185,57088000,120990000,2682068.7126,7727.1815,46161517.0294,54398204.1059,90537.0125,54307667.0934,8146150.064,99.9864644382357,2
2021,134.144014432668,56223408.8415,57647000,77330000,1895521.6634,1423591.1585,46055396.1435,54327887.1781,145068.1857,54182818.9924,8127422.8489,97.530502613319,2
2020,295.775512710303,16272336.9258,16286000,48170000,474485.1797,13663.0742,13398592.1366,15797851.7461,34802.1736,15763049.5725,2364457.4359,99.9161054021859,1
2022,203.90438247012,12354779.7993,12550000,25590000,371413.5875,195220.2007,10165973.0557,11983366.2118,23397.911,11959968.3008,1793995.2451,98.4444605521912,3
2022,157.621227243005,57250793.4442,58114000,91600000,1175108.3015,863206.5558,47564697.3186,56075685.1427,117217.7091,55958467.4336,8393770.115,98.5146323505524,0
2021,85.6923854153964,56338886.4698,57403000,49190000,2086981.5051,1064113.5302,46060825.636,54251904.9647,62698.3341,54189206.6306,8128380.9946,98.1462405619915,3
2023,173.55969704706,23141187.8998,23502000,40790000,1003980.2074,360812.1002,18808626.2695,22137207.6924,9412.0812,22127795.6112,3319169.3417,98.4647600195728,2
2021,135.772828876563,23571382.2896,24158000,32800000,986482.4044,586617.7104,19160647.1504,22584899.8852,42962.0612,22541937.824,3381290.6736,97.5717455484725,2
2021,172.086872716678,43753397.6601,44617000,76780000,563704.923,863602.3399,36685427.1343,43189692.7371,30366.6967,43159326.0404,6473898.9061,98.0644096647018,2
2021,178.676130226817,31922077.3995,32405000,57900000,81595.2075,482922.6005,27039237.0268,31840482.192,29615.1017,31810867.0903,4771630.0635,98.5097281268323,3
2022,222.219816855368,45726383.7973,46193000,102650000,905669.1192,466616.2027,38015825.148,44820714.6781,96214.504,44724500.1741,6708675.0261,98.9898551670166,2
2020,149.419630039785,48279056.5025,48762000,72860000,1387494.4516,482943.4975,39772463.295,46891562.0509,100428.7627,46791133.2882,7018669.9932,99.0095904649112,4
2023,103.43740145064601,31671298.1118,31710000,32800000,37952.5904,38701.8882,26882948.5214,31633345.5214,6347.2609,31626998.2605,4744049.7391,99.877950526017,2
2023,208.930947804229,20258565.8961,20289000,42390000,724074.7004,30434.1039,16568067.3968,19534491.1957,42647.1995,19491843.9962,2923776.5994,99.8499970235103,2
2023,259.167258102673,8245557.4534,8454000,21910000,279888.0036,208442.5466,6764905.9994,7965669.4498,6956.5093,7958712.9405,1193806.9411,97.5343914525668,2
2021,260.212141728729,34960177.5191,35448000,92240000,1584758.7788,487822.4809,28346738.3581,33375418.7403,26314.7896,33349103.9507,5002365.5926,98.6238363775107,2
2023,211.232594721613,50163676.953,51493000,108770000,57333.4561,1329323.047,42502575.5714,50106343.4969,103313.4129,50003030.084,7500454.5126,97.4184393082555,2
2020,185.157091122639,39693295.2943,40868000,75670000,1602106.9465,1174704.7057,32347773.683,38091188.3478,34984.0148,38056204.333,5708430.65,97.1256124456788,2
2020,212.653499185312,24744627.7496,25163000,53510000,730630.4427,418372.2504,20383997.2973,24013997.3069,32824.0159,23981173.291,3597175.9937,98.3373514668362,2
2022,232.482096391646,42796897.9921,43427000,100960000,1539542.1784,630102.0079,35022741.4541,41257355.8137,54130.5736,41203225.2401,6180483.786,98.5490547173417,2
2023,197.325391263723,16909977.4467,17124000,33790000,241250.2548,214022.5533,14165848.5088,16668727.1919,3023.0639,16665704.128,2499855.6192,98.7501602820603,3
2023,101.389270436796,50501892.211,50962000,51670000,1018114.1765,460107.789,41964693.8314,49483778.0345,113549.9976,49370228.0369,7405534.2055,99.0971551567835,3
2022,222.140591083653,29377673.4662,29945000,66520000,340809.7353,567326.5338,24659572.2615,29036863.7309,25602.2468,29011261.4841,4351689.2226,98.1054381906829,0
2020,130.667459491601,13167618.8479,13454000,17580000,516103.3069,286381.1521,10728129.3476,12651515.541,30186.8968,12621328.6442,1893199.2966,97.8714051427085,2
2020,166.600150769367,22191764.0557,22551000,37570000,165496.0331,359235.9443,18719676.4406,22026268.0226,3119.2689,22023148.7537,3303472.3131,98.4070065881779,3
2022,128.63278083444,56655147.5618,57979000,74580000,603573.6116,1323852.4382,47617315.2829,56051573.9502,31203.0291,56020370.9211,8403055.6382,97.7166690729402,0
2023,186.973421992463,49268766.1495,50681000,94760000,1125498.6234,1412233.8505,40857460.1516,48143267.5261,75667.3477,48067600.1784,7210140.0268,97.2134846382273,2
2022,217.925403599926,26433613.5362,26945000,58720000,1089250.7947,511386.4638,21536450.1558,25344362.7415,7362.5582,25337000.1833,3800550.0275,98.1021099877528,3
2021,196.629213483146,34695892.3567,35600000,70000000,1492896.3095,904107.6433,28214222.2118,33202996.0472,9793.4451,33193202.6021,4978980.3903,97.4603717884831,4
2022,75.6338028169014,34781209.5264,35500000,26850000,503148.6212,718790.4736,29107784.8858,34278060.9052,33608.0984,34244452.8068,5136667.921,97.9752381025352,2
2023,187.53266594299,49137497.0616,49746000,93290000,1419461.698,608502.9384,40543244.677,47718035.3636,20100.4495,47697934.9141,7154690.2371,98.7767801664455,1
2020,247.95240456123,50072801.3241,50425000,125030000,1840219.1956,352198.6759,40923062.1485,48232582.1285,87803.1303,48144778.9982,7221716.8497,99.3015395619236,3
2022,181.495069938088,8677734.3688,8722000,15830000,55385.758,44265.6312,7316390.4287,8622348.6108,14830.4594,8607518.1514,1291127.7227,99.4924830176565,3
2021,92.4077020132756,36396047.7101,36458000,33690000,1005969.6262,61952.2899,30064595.393,35390078.0839,19965.8568,35370112.2271,5305516.8341,99.8300721655055,2
2020,217.228180543449,25864860.4513,26387000,57320000,1173188.6065,522139.5487,20976823.4301,24691671.8448,13056.0447,24678615.8001,3701792.37,98.0212242820328,2
2023,293.644627457074,50112016.4939,51484000,151180000,913251.3191,1371983.5061,41765803.423,49198765.1748,62525.8536,49136239.3212,7370435.8982,97.3351264352032,3
2020,233.156670606627,25506211.486,26227000,61150000,63361.105,720788.514,21589217.7401,25442850.381,43770.6868,25399079.6942,3809861.9541,97.2517309871506,2
2020,188.656187098629,40808235.1691,41732000,78730000,793074.6643,923764.8309,33929643.5356,40015160.5048,97932.8159,39917227.6889,5987584.1533,97.7864352753283,1
2022,69.7645779027524,48086643.3478,48721000,33990000,762014.8185,634356.6522,40124187.5816,47324628.5293,119701.9627,47204926.5666,7080738.985,98.6979810508815,4
2021,77.023768515329,57102562.6503,58060000,44720000,563352.7589,957437.3497,48011569.1631,56539209.8914,55010.876,56484199.0154,8472629.8523,98.3509518606614,2
2022,222.470763676321,50224347.0177,50964000,113380000,2168628.5917,739652.9823,40773617.8717,48055718.426,86756.224,47968962.202,7195344.3303,98.5486755704026,2
2020,83.9136576540854,40162678.2575,40351000,33860000,263548.6422,188321.7425,33880005.7979,39899129.6153,40299.2648,39858830.3505,5978824.5526,99.5332910150926,2
2023,119.935376897241,46728884.1092,47042000,56420000,1030015.8724,313115.8908,38830106.2019,45698868.2368,16390.3522,45682477.8846,6852371.6827,99.3343907767527,0
2023,265.94473217196,27285345.0096,27611000,73430000,53084.9194,325654.9904,23112396.4769,27232260.0902,41205.4115,27191054.6787,4078658.2018,98.8205606808881,4
2021,274.89006849915,57030340.8283,57081000,156910000,423457.3643,50659.1717,47991030.7531,56606883.464,146847.2839,56460036.1801,8469005.427,99.9112503780593,1
2021,220.075902946569,45761408.2275,46902000,103220000,1516811.7698,1140591.7725,37603252.0707,44244596.4577,5476.3745,44239120.0832,6635868.0125,97.5681383043367,2
2020,54.7590383422713,54530291.6738,54822000,30020000,1555333.7695,291708.3262,44941631.7535,52974957.9043,102449.959,52872507.9453,7930876.1918,99.4678991532596,2
2020,102.565283470732,21510955.805,21713000,22270000,1008388.2569,202044.195,17394930.3308,20502567.5481,37943.6295,20464623.9186,3069693.5878,99.0694782158154,3
2021,173.529411764706,17940220.6076,18020000,31270000,106340.256,79779.3924,15125611.5064,17833880.3516,39043.2852,17794837.0664,2669225.56,99.5572730721421,3
2020,271.986217908315,23236091.1164,23799000,64730000,1066466.0374,562908.8836,18837114.5108,22169625.079,8313.8898,22161311.1892,3324196.6784,97.6347372427413,2
2023,233.959060465994,52495549.023,53005000,124010000,2494164.5073,509450.977,42489943.2192,50001384.5157,13216.0225,49988168.4932,7498225.274,99.0388624148665,3
2020,237.243658275829,30260285.5445,30867000,73230000,126096.0595,606714.4555,25597333.879,30134189.485,19679.0391,30114510.4459,4517176.5669,98.0344236385136,1
2020,184.23777474467,41908146.2602,42494000,78290000,453670.3003,585853.7398,35162509.6789,41454475.9599,86817.5141,41367658.4458,6205148.7669,98.6213259759025,2
2021,190.746630319552,13055593.7361,13206000,25190000,553025.8563,150406.2639,10615288.5858,12502567.8798,13993.073,12488574.8068,1873286.221,98.8610762994094,2
2020,99.8444844397071,55723870.4004,57229000,57140000,1667564.5462,1505129.5996,45856702.0696,54056305.8542,107244.5958,53949061.2584,8092359.1888,97.3699879438746,2
2020,136.405529953917,28613071.4037,29295000,39960000,1372683.6822,681928.5963,23145192.5974,27240387.7215,10749.3716,27229638.3499,4084445.7525,97.6722014121864,2
2021,85.061071093016,31815875.6858,31930000,27160000,1098893.7287,114124.3142,26068289.5201,30716981.9571,48406.0511,30668575.906,4600286.3859,99.6425796611337,2
2023,213.884921444603,19575949.1916,19604000,41930000,82542.8285,28050.8084,16544286.8422,19493406.3631,29539.4899,19463866.8732,2919580.031,99.8569128320751,2
2022,203.479260265385,37873504.969,38284000,77900000,1870511.0215,410495.031,30573948.2194,36002993.9475,33643.1012,35969350.8463,5395402.6269,98.9277634756034,2
2023,253.817251578863,12358293.1017,12509000,31750000,435493.3415,150706.8983,10127390.3515,11922799.7602,8222.8761,11914576.8841,1787186.5326,98.7952122607722,2
2020,225.706504085355,39241775.1446,40021000,90330000,1656723.0254,779224.8554,31915520.4424,37585052.1192,37381.0105,37547671.1087,5632150.6663,98.0529600574698,2
2022,141.391777136291,35590046.0305,35681000,50450000,1388110.8592,90953.9695,29064977.473,34201935.1713,7844.0266,34194091.1447,5129113.6717,99.7450913105014,4
2023,81.5637647464049,56936119.4149,58065000,47360000,1186503.4482,1128880.5851,47261966.0894,55749615.9667,147302.9204,55602313.0463,8340346.9569,98.0558329714975,2
2021,118.791897931233,27627414.4226,27746000,32960000,1195045.4365,118585.5774,22416481.0945,26432368.9861,60038.2867,26372330.6994,3955849.6049,99.5726029791682,3
2023,281.064791562029,19741641.8354,19910000,55960000,670955.7209,168358.1646,16195596.5015,19070686.1145,17043.1715,19053642.943,2858046.4415,99.1544039949774,2
2020,91.0340178386227,37474215.4579,38568000,35110000,1625520.182,1093784.5421,30435781.5441,35848695.2759,41893.4593,35806801.8166,5371020.2725,97.164010210278,2
2022,107.270745757434,6314923.7919,6423000,6890000,31341.791,108076.2081,5340679.2065,6283582.0009,429.9932,6283152.0077,942472.8012,98.3173562494162,2
2023,285.071566500109,49594891.7398,50233000,143200000,1574942.6096,638108.2602,40728122.3845,48019949.1302,104511.0308,47915438.0994,7187315.7149,98.7297030633249,1
2021,246.393009550904,19290177.649,19684000,48500000,327877.592,393822.351,16098236.0021,18962300.057,23198.8781,18939101.1789,2840865.1768,97.999276818736,2
2021,75.2418268642096,15950610.221,16334000,12290000,591759.7911,383389.779,13045504.4062,15358850.4299,11198.1873,15347652.2426,2302147.8364,97.6528114423901,2
2020,90.7429267735425,25978657.464,26261000,23830000,114093.0682,282342.536,21962715.4099,25864564.3958,26075.6783,25838488.7175,3875773.3076,98.9248599215567,1
2021,228.323699421965,23334507.8291,23874000,54510000,583674.3869,539492.1709,19312425.1436,22750833.4422,30333.2733,22720500.1689,3408075.0253,97.7402522790483,2
2021,230.826937503607,33973747.0836,34658000,80000000,449092.5441,684252.9164,28435838.3736,33524654.5395,70727.0411,33453927.4984,5018089.1248,98.0256999353685,2
2020,266.769597395405,58931225.9167,59587000,158960000,977564.1877,655774.0833,49139703.7028,57953661.729,142245.6081,57811416.1209,8671712.4181,98.8994678649705,0
2023,226.180550291821,26327059.8417,26386000,59680000,572768.092,58940.1583,21864650.4398,25754291.7497,31173.5852,25723118.1645,3858467.7247,99.776623367316,2
2023,295.308452460904,10306675.3093,10423000,30780000,146113.706,116324.6907,8631600.6049,10160561.6033,5737.3622,10154824.2411,1523223.6362,98.8839615206754,2
2022,192.881221495142,49017968.1827,50430000,97270000,1620563.2452,1412031.8173,40189636.1134,47397404.9375,115480.0982,47281924.8393,7092288.7259,97.2000162258576,4
2022,232.426303854875,48898109.0163,49392000,114800000,167378.6077,493890.9837,41390636.2082,48730730.4086,35864.2813,48694866.1273,7304229.9191,99.0000587469631,2
2020,217.264125014724,50399001.8974,50938000,110670000,306153.2,538998.1026,42473025.6019,50092848.6974,124583.2834,49968265.414,7495239.8121,98.9418546024579,2
2023,154.524167602658,52254704.9361,52529000,81170000,1815486.4326,274295.0639,42769467.2369,50439218.5035,122198.2248,50317020.2787,7547553.0418,99.4778216529917,1
2022,61.1845888441633,8566202.3291,8695000,5320000,59484.1973,128797.6709,7215895.5482,8506718.1318,17429.2516,8489288.8802,1273393.332,98.5187156883266,2
2023,222.125714285714,21445063.4167,21875000,48590000,942399.7349,429936.5833,17398598.7211,20502663.6818,33724.0099,20468939.6719,3070340.9508,98.0345756192,2
2021,181.601954229879,15368433.2748,15556000,28250000,605765.7752,187566.7252,12522445.5065,14762667.4996,30378.6684,14732288.8312,2209843.3247,98.7942483594754,2
2021,63.0387626143544,52849756.946,53015000,33420000,270336.352,165243.054,44604519.3689,52579420.594,103515.4541,52475905.1399,7871385.771,99.6883088673017,2
