company,year,netprofitmargin,grossprofit,revenue,netincome,costandexpenses,costofgoodsandservices,netproft,ebit,interest,ebt,proftaftertax,grossprofitmargin,YoY Revenue Change %,date,Sector
AMZN,2023,145.8946772,35317031.39,35320000,51530000,1584932.663,2968.6105,28631704.06,33732098.73,47741.0042,33684357.72,5052653.658,99.9915951,92893.53058,3/13/2023,Consumer Discretionary
ORCL,2023,161.6307593,51040129.97,52589000,85000000,496791.0124,1548870.029,42926380.96,50543338.96,41714.3034,50501624.66,7575243.698,97.05476425,62356.62591,9/7/2023,Technology
NFLX,2023,267.4090255,56194407.54,56307000,150570000,2152518.553,112592.4613,45886972.32,54041888.99,57215.6646,53984673.32,8097700.998,99.80003825,58232.56078,2/28/2023,Entertainment
AMZN,2023,243.8641712,17778649.83,17846000,43520000,531603.4,67350.1654,14640709.82,17247046.43,22681.936,17224364.5,2583654.675,99.62260358,183948.6103,2/14/2023,Consumer Discretionary
NFLX,2023,248.1006688,57933101.18,59363000,147280000,1646808.811,1429898.821,47788582.04,56286292.37,64431.1402,56221861.23,8433279.184,97.59126254,55229.60767,5/15/2023,Entertainment
MSFT,2023,81.56376475,56936119.41,58065000,47360000,1186503.448,1128880.585,47261966.09,55749615.97,147302.9204,55602313.05,8340346.957,98.05583297,56466.46,2/5/2023,Technology
MSFT,2023,292.489745,52865485.42,52901000,154730000,1793898.613,35514.5846,43330700.76,51071586.8,94291.7883,50977295.01,7646594.252,99.93286595,61988.26865,10/24/2023,Technology
GOOG,2023,116.2470824,46554174.77,47984000,55780000,347596.4597,1429825.231,39184344.71,46206578.31,107349.2355,46099229.07,6914884.361,97.02020417,68350.55644,4/11/2023,Technology
ORCL,2023,262.9292359,39840444.13,40741000,107120000,1827200.953,900555.867,32283468.48,38013243.18,32692.0278,37980551.15,5697082.673,97.78955876,80519.8056,3/5/2023,Technology
BABA,2023,206.7051742,56916696.2,57478000,118810000,1145872.335,561303.8032,47405181.65,55770823.86,21.9184,55770801.94,8365620.292,99.02344583,57044.15081,11/24/2023,Consumer Discretionary
AMZN,2023,164.8995884,39406958.31,40085000,66100000,1524528.765,678041.6932,32135464.1,37882429.54,76001.1932,37806428.35,5670964.252,98.30849023,81839.16677,4/4/2023,Consumer Discretionary
AAPL,2023,219.4000037,53046883.14,54567000,119720000,1119710.69,1520116.857,44137506.07,51927172.45,694.7247,51926477.73,7788971.659,97.21421948,60092.63474,9/10/2023,Technology
TSLA,2023,99.80191098,51430798.63,51492000,51390000,391311.297,61201.3709,43379679.58,51039487.33,4570.1755,51034917.16,7655237.574,99.88114392,63687.21937,12/11/2023,Automotive Technology
NFLX,2023,145.3156635,10694633.2,10866000,15790000,410858.882,171366.7995,8737707.737,10283774.32,4118.1568,10279656.16,1541948.424,98.42290816,302176.0445,5/7/2023,Entertainment
AAPL,2023,275.7351494,49579444.44,50806000,140090000,1086009.003,1226555.557,41213209.05,48493435.44,7307.1473,48486128.29,7272919.244,97.5858057,64548.49624,3/28/2023,Technology
GOOG,2023,85.18090374,56333216.68,57959000,49370000,2409960.578,1625783.318,45783966.21,53923256.1,59766.4418,53863489.66,8079523.45,97.19494243,56569.91321,10/4/2023,Technology
AMZN,2023,251.1512027,57156556.23,58200000,146170000,1504429.016,1043443.775,47198497.46,55652127.21,124483.1341,55527644.08,8329146.611,98.20714128,56335.24914,11/24/2023,Consumer Discretionary
TSLA,2023,285.0715665,49594891.74,50233000,143200000,1574942.61,638108.2602,40728122.38,48019949.13,104511.0308,47915438.1,7187315.715,98.72970306,65285.93156,6/11/2023,Automotive Technology
GOOG,2023,125.5452959,54492119.37,55016000,69070000,1142408.743,523880.6343,45320769.46,53349710.62,31158.321,53318552.3,7997782.845,99.04776677,59601.38687,10/29/2023,Technology
TSLA,2023,108.7204707,11103449.15,11387000,12380000,237343.1037,283550.8518,9233050.516,10866106.04,3693.6728,10862412.37,1629361.856,97.50987221,288345.7276,6/13/2023,Automotive Technology
BABA,2023,231.6373579,36395616.95,37304000,86410000,245487.7266,908383.0489,30719176.95,36150129.22,9921.0443,36140208.18,5421031.227,97.56491784,87947.70266,7/8/2023,Consumer Discretionary
GOOG,2023,103.0671181,9847080.09,10042000,10350000,250063.7261,194919.9105,8154207.999,9597016.363,3830.4819,9593185.882,1438977.882,98.05895329,326979.4165,8/17/2023,Technology
MSFT,2023,236.4225726,33529908.7,33935000,80230000,964845.873,405091.3006,27669926.75,32565062.83,12207.8222,32552855,4882928.251,98.80627287,96688.90526,9/30/2023,Technology
NVDA,2023,178.3180934,46884829.29,47791000,85220000,2157398.036,906170.7128,37933781.16,44727431.25,99453.4171,44627977.83,6694196.675,98.10388836,68626.98835,9/21/2023,Technology
GOOG,2023,286.3562716,32268996.13,32711000,93670000,107231.1961,442003.8716,27333959.72,32161764.93,4165.2655,32157599.67,4823639.95,98.64876075,100310.6111,7/17/2023,Technology
AAPL,2023,156.5667332,50955631.75,51601000,80790000,1562952.889,645368.2484,41899409.96,49392678.86,99255.3772,49293423.49,7394013.523,98.74931058,63552.47767,6/1/2023,Technology
GOOG,2023,160.8799964,43515366,44182000,71080000,1732364.434,666633.9955,35442689.36,41783001.57,85719.9707,41697281.6,6254592.24,98.49116383,74240.94201,2/11/2023,Technology
TSLA,2023,157.5369608,32029684.35,32805000,51680000,1260116.512,775315.6484,26107840.34,30769567.84,54461.5558,30715106.28,4607265.943,97.63659305,100022.8929,7/15/2023,Automotive Technology
AMZN,2023,293.6446275,50112016.49,51484000,151180000,913251.3191,1371983.506,41765803.42,49198765.17,62525.8536,49136239.32,7370435.898,97.33512644,63697.13115,2/14/2023,Consumer Discretionary
MSFT,2023,235.1874929,8754844.988,8827000,20760000,434918.3213,72155.0121,7056879.191,8319926.667,17715.8532,8302210.813,1245331.622,99.18256472,372000.5438,12/15/2023,Technology
NFLX,2023,142.5323172,23616360.32,23749000,33850000,619077.088,132639.6819,19536897.55,22997283.23,12697.8728,22984585.36,3447687.804,99.44149361,138201.8864,8/19/2023,Entertainment
NFLX,2023,153.5335643,38125554.85,38389000,58940000,1696860.974,263445.1499,30951826.31,36428693.88,14780.5748,36413913.3,5462086.995,99.31374834,85459.18362,11/9/2023,Entertainment
ORCL,2023,127.1004385,33633741.22,33981000,43190000,764090.11,347258.7798,27883068.63,32869651.11,66040.9531,32803610.16,4920541.524,98.97807957,96557.88235,7/20/2023,Technology
AMZN,2023,63.69092907,58673638.23,59145000,37670000,2030134.876,471361.7698,48145330.53,56643503.35,1938.021,56641565.33,8496234.8,99.20304038,55433.54468,3/7/2023,Consumer Discretionary
AAPL,2023,280.2188692,5920652.996,6031000,16900000,77804.2563,110347.0043,4958670.242,5842848.739,9119.0431,5833729.696,875059.4544,98.17033652,544508.1081,8/15/2023,Technology
META,2023,227.3859375,35731851.82,36537000,83080000,475904.8483,805148.1759,29950479.6,35255946.98,20088.6181,35235858.36,5285378.754,97.79634843,89796.03689,10/26/2023,Communication Service
NFLX,2023,148.9443492,33532069.73,33818000,50370000,1296558.078,285930.2667,27385433.39,32235511.66,17354.7275,32218156.93,4832723.539,99.15450273,97023.76545,2/19/2023,Entertainment
MSFT,2023,190.9427532,30156447.74,30517000,58270000,677178.2727,360552.257,25020594.11,29479269.47,43276.3955,29435993.07,4415398.961,98.81851998,107529.5671,11/24/2023,Technology
ORCL,2023,270.500683,41893934.9,42462000,114860000,1147803.336,568065.099,34610872.76,40746131.57,27457.733,40718673.83,6107801.075,98.66218007,77252.25613,4/10/2023,Technology
MSFT,2023,160.5756053,8694137.807,8756000,14060000,33123.6077,61862.1926,7355120.592,8661014.2,7931.1501,8653083.05,1297962.457,99.29348798,375017.8049,6/15/2023,Technology
GOOG,2023,188.5776216,30233011.81,30449000,57420000,843960.762,215988.1894,24926368.64,29389051.05,63911.4738,29325139.57,4398770.936,99.29065589,107769.93,7/6/2023,Technology
AAPL,2023,192.916106,53708751.05,54998000,106100000,1231728.176,1289248.951,44494193.72,52477022.87,130912.6178,52346110.26,7851916.538,97.65582576,59620.92622,6/12/2023,Technology
AAPL,2023,274.7591883,10414075.17,10693000,29380000,288314.0894,278924.8337,8603091.717,10125761.08,4476.704,10121284.37,1518192.656,97.39151937,307066.5108,5/20/2023,Technology
AMZN,2023,181.0130411,59097247.72,59504000,107710000,906498.1383,406752.2769,49375040.34,58190749.58,102466.8346,58088282.75,8713242.413,99.31642868,55098.49926,2/19/2023,Consumer Discretionary
NFLX,2023,219.7243466,47444043.98,47596000,104580000,214491.7411,151956.0193,40070715.85,47229552.24,87533.5921,47142018.65,7071302.797,99.68073784,68908.56164,2/25/2023,Entertainment
TSLA,2023,132.1301248,39915368.52,40392000,53370000,1661468.992,476631.4797,32450937.91,38253899.53,76325.5206,38177574.01,5726636.101,98.81998544,81216.38691,3/14/2023,Automotive Technology
NVDA,2023,244.5317948,46646470.88,47319000,115710000,1746013.314,672529.1164,38162560.49,44900457.57,3327.5867,44897129.98,6734569.498,98.57873346,69312.52985,6/15/2023,Technology
BABA,2023,254.2265027,56968892.25,58145000,147820000,471183.7729,1176107.75,47953332.22,56497708.48,82023.5106,56415684.97,8462352.745,97.9772848,56388.63187,10/16/2023,Consumer Discretionary
TSLA,2023,86.83749452,53360306.07,54792000,47580000,1627264.336,1431693.931,43969958.83,51733041.73,3678.3994,51729363.33,7759404.5,97.38703838,59845.45737,3/5/2023,Automotive Technology
BABA,2023,121.9973009,10818627.68,11115000,13560000,416848.8814,296372.3197,8841175.358,10401778.8,396.0245,10401382.77,1560207.416,97.33358237,295404.4085,8/12/2023,Consumer Discretionary
ORCL,2023,259.1672581,8245557.453,8454000,21910000,279888.0036,208442.5466,6764905.999,7965669.45,6956.5093,7958712.941,1193806.941,97.53439145,388418.0388,10/7/2023,Technology
AMZN,2023,217.0304535,14876949.74,15302000,33210000,228688.6115,425050.259,12443785.39,14648261.13,8513.6072,14639747.52,2195962.128,97.22225684,214547.203,6/10/2023,Consumer Discretionary
NFLX,2023,238.3266427,18811555.47,18932000,45120000,478487.3103,120444.5267,15558264.08,18333068.16,29228.0667,18303840.1,2745576.014,99.36380453,173390.9941,9/18/2023,Entertainment
NFLX,2023,146.6654368,53227347.47,54205000,79500000,857104.8491,977652.526,44423548.94,52370242.62,107243.8775,52262998.75,7839449.812,98.19637944,60494.62227,12/7/2023,Entertainment
MSFT,2023,141.8354078,43045359.4,43064000,61080000,1224410.05,18640.5993,35485536.61,41820949.35,73259.2261,41747690.13,6262153.519,99.95671419,76170.93396,4/20/2023,Technology
GOOG,2023,255.5919759,37805675.06,38135000,97470000,419881.3601,329324.9404,31698639.94,37385793.7,93276.1262,37292517.57,5593877.636,99.13642339,86029.05467,11/19/2023,Technology
MSFT,2023,60.57119375,23644965.1,24335000,14740000,854421.4433,690034.8962,19340241.5,22790543.66,37318.3672,22753225.29,3412983.794,97.16443437,134871.502,1/4/2023,Technology
META,2023,295.0101985,20054532.98,20101000,59300000,917954.8418,46467.0227,16226279.33,19136578.14,46837.7438,19089740.39,2863461.059,99.76883228,163301.3979,1/11/2023,Communication Service
ORCL,2023,66.82094301,6902131.467,6914000,4620000,340117.0431,11868.5332,5562967.035,6562014.424,17347.3242,6544667.1,981700.0649,99.82834057,474955.1779,9/9/2023,Technology
META,2023,193.4852033,46904399.81,46970000,90880000,2278763.127,65600.1868,37899794.98,44625636.69,37642.5967,44587994.09,6688199.113,99.86033599,69828.28401,7/11/2023,Communication Service
BABA,2023,79.44610372,54483808.79,55245000,43890000,1449803.418,761191.2054,45065025.92,53034005.38,16327.8275,53017677.55,7952651.632,98.62215367,59353.91438,8/19/2023,Consumer Discretionary
TSLA,2023,202.9641093,16550336.04,16801000,34100000,240413.0322,250663.9627,13845493.31,16309923.01,21107.3462,16288815.66,2443322.349,98.50804141,195396.1907,1/13/2023,Automotive Technology
NVDA,2023,255.8346017,46826933.43,47304000,121020000,1092310.74,477066.5673,38778139.92,45734622.69,113281.6136,45621341.08,6843201.162,98.99148789,69334.54042,4/25/2023,Technology
NVDA,2023,136.1363958,41477793.68,42406000,57730000,1755169.725,928206.3183,33750014.33,39722623.96,16724.7478,39705899.21,5955884.881,97.8111439,77354.40504,2/28/2023,Technology
MSFT,2023,166.1222585,27220772.33,27859000,46280000,1205241.511,638227.6684,22095435.11,26015530.82,20901.2773,25994629.54,3899194.432,97.70907905,117798.3991,5/18/2023,Technology
META,2023,142.6345144,12025382.76,12192000,17390000,436033.4947,166617.2416,9843471.572,11589349.26,8794.4727,11580554.79,1737083.219,98.63338877,269300.5495,5/28/2023,Communication Service
TSLA,2023,74.21120412,18444759.78,18636000,13830000,900311.0107,191240.2231,14886118.28,17544448.77,31368.4396,17513080.33,2626962.049,98.97381293,176146.5926,12/5/2023,Automotive Technology
TSLA,2023,154.5241676,52254704.94,52529000,81170000,1815486.433,274295.0639,42769467.24,50439218.5,122198.2248,50317020.28,7547553.042,99.47782165,62427.9655,9/8/2023,Automotive Technology
NFLX,2023,103.7855866,57029708.9,58168000,60370000,1686858.813,1138291.104,47041303.57,55342850.08,140.0022,55342710.08,8301406.512,98.0430974,56366.2959,5/15/2023,Entertainment
NFLX,2023,119.9353769,46728884.11,47042000,56420000,1030015.872,313115.8908,38830106.2,45698868.24,16390.3522,45682477.88,6852371.683,99.33439078,69721.25547,6/14/2023,Entertainment
NVDA,2023,273.2716798,12851370.29,13192000,36050000,582508.3059,340629.7135,10408560.18,12268861.98,23497.0634,12245364.92,1836804.738,97.41790696,248879.0403,5/10/2023,Technology
BABA,2023,124.9403151,43951936.31,43981000,54950000,283421.4632,29063.6924,37059544.99,43668514.84,69050.1559,43599464.69,6539919.703,99.93391762,74580.69166,10/7/2023,Consumer Discretionary
AAPL,2023,213.8849214,19575949.19,19604000,41930000,82542.8285,28050.8084,16544286.84,19493406.36,29539.4899,19463866.87,2919580.031,99.85691283,167443.9451,3/30/2023,Technology
MSFT,2023,220.2163315,12922510.24,13128000,28910000,479983.8044,205489.758,10549594.29,12442526.44,31239.0407,12411287.4,1861693.11,98.43472153,250092.8321,6/18/2023,Technology
BABA,2023,233.9590605,52495549.02,53005000,124010000,2494164.507,509450.977,42489943.22,50001384.52,13216.0225,49988168.49,7498225.274,99.03886241,61866.44656,2/5/2023,Consumer Discretionary
NVDA,2023,93.27821711,22109869.25,22256000,20760000,730542.4199,146130.7484,18147232.37,21379326.83,29641.6924,21349685.14,3202452.771,99.34340965,147479.5965,11/6/2023,Technology
TSLA,2023,111.6532905,15204112.26,15575000,17390000,99266.4032,370887.7381,12836018.7,15104845.86,3647.3906,15101198.47,2265179.77,97.61869831,210784.8475,6/27/2023,Automotive Technology
NFLX,2023,288.6564956,49070576.88,50011000,144360000,984158.5165,940423.1186,40801832.79,48086418.36,84262.1411,48002156.22,7200323.434,98.11956746,65576.18124,4/10/2023,Entertainment
MSFT,2023,270.1606004,39836134.78,40909000,110520000,553973.4503,1072865.219,33352964.8,39282161.33,43379.2102,39238782.12,5885817.318,97.37743475,80188.7262,9/13/2023,Technology
NVDA,2023,238.9897008,40257004.49,40780000,97460000,1846163.158,522995.5107,32627452.01,38410841.33,25603.6677,38385237.66,5757785.65,98.71751959,80442.70476,8/14/2023,Technology
AAPL,2023,96.56998635,47997654.93,48338000,46680000,728177.061,340345.0714,40142262.55,47269477.87,43286.6345,47226191.23,7083928.685,99.29590576,67849.26352,1/11/2023,Technology
BABA,2023,83.5482016,53573431.87,53909000,45040000,106975.7368,335568.132,45392970.91,53466456.13,62960.9443,53403495.19,8010524.278,99.37752855,60827.33124,2/18/2023,Consumer Discretionary
BABA,2023,252.2243327,19857505.48,20006000,50460000,422685.2053,148494.5195,16500074.89,19434820.28,22967.4597,19411852.82,2911777.922,99.25775008,164077.3218,5/7/2023,Consumer Discretionary
NFLX,2023,71.68566287,33249491.32,33340000,23900000,27784.3559,90508.6789,28194674.1,33221706.97,51502.1409,33170204.82,4975530.724,99.72852826,98416.24175,3/9/2023,Entertainment
MSFT,2023,236.9459963,13155357.52,13425000,31810000,468677.9311,269642.48,10779397.5,12686679.59,5035.4736,12681644.12,1902246.617,97.99148991,244557.8399,4/9/2023,Technology
META,2023,101.3780391,11272537.57,11393000,11550000,43437.5214,120462.4335,9536271.792,11229100.05,9956.7604,11219143.28,1682871.493,98.94266274,288193.8208,5/8/2023,Communication Service
ORCL,2023,177.5644871,9724139.542,10002000,17760000,86383.2892,277860.458,8190367.47,9637756.253,2029.8172,9635726.436,1445358.965,97.22195103,328287.4725,1/29/2023,Technology
AAPL,2023,153.8712572,12026964.64,12257000,18860000,479352.7497,230035.3589,9810793.884,11547611.89,5501.4401,11542110.45,1731316.568,98.12323277,267871.8936,9/29/2023,Technology
MSFT,2023,272.826724,24830192.83,25595000,69830000,913501.1649,764807.168,20280052.81,23916691.67,57806.0133,23858885.65,3578832.848,97.01188838,128227.0756,3/24/2023,Technology
NVDA,2023,220.6850863,25652448.82,25661000,56630000,96984.3849,8551.1844,21717289.09,25555464.43,5712.5657,25549751.87,3832462.78,99.96667634,127897.0188,4/7/2023,Technology
MSFT,2023,231.9720706,33674447.63,34086000,79070000,836693.6443,411552.3707,27892002.89,32837753.99,23632.9409,32814121.04,4922118.157,98.79260585,96260.13319,12/14/2023,Technology
NVDA,2023,255.8383933,33655670.7,34256000,87640000,1505101.854,600329.2974,27294506.53,32150568.85,39384.6965,32111184.15,4816677.623,98.24752073,95781.93309,12/29/2023,Technology
AMZN,2023,118.9317359,23735682.78,24039000,28590000,822934.5509,303317.2191,19447967.9,22912748.23,32785.9951,22879962.23,3431994.335,98.73822863,136533.4498,1/8/2023,Consumer Discretionary
AAPL,2023,225.8302973,37600703.34,37878000,85540000,109218.6233,277296.663,31828039.66,37491484.71,46732.1741,37444752.54,5616712.881,99.26792158,86613.43524,12/17/2023,Technology
TSLA,2023,184.4769404,14964173.29,15113000,27880000,341910.561,148826.7065,12409475.57,14622262.73,22879.7037,14599383.03,2189907.454,99.01524048,217231.5358,5/6/2023,Automotive Technology
NVDA,2023,295.3084525,10306675.31,10423000,30780000,146113.706,116324.6907,8631600.605,10160561.6,5737.3622,10154824.24,1523223.636,98.88396152,315023.429,12/15/2023,Technology
ORCL,2023,99.02994914,20669537.77,21236000,21030000,812356.8113,566462.2293,16876930.82,19857180.96,1968.2349,19855212.72,2978281.909,97.332538,154568.0872,9/24/2023,Technology
AMZN,2023,111.4260554,35888206.99,36338000,40490000,1748782.011,449793.0066,29017992.94,34139424.98,609.754,34138815.23,5120822.284,98.76219658,90288.34003,2/22/2023,Consumer Discretionary
NVDA,2023,248.7195678,14044234.94,14253000,35450000,593954.0833,208765.0606,11425994.13,13450280.86,7934.8253,13442346.03,2016351.905,98.53529039,230344.9239,12/5/2023,Technology
BABA,2023,204.4581995,25473013.52,25526000,52190000,413227.0375,52986.4773,21258059.53,25059786.49,50304.6855,25009481.8,3751422.27,99.79242154,128573.9599,10/22/2023,Consumer Discretionary
ORCL,2023,53.92501394,40889766.31,41261000,22250000,812954.1457,371233.6853,34032933.53,40076812.17,38066.8454,40038745.32,6005811.799,99.10027948,79503.77839,9/12/2023,Technology
BABA,2023,182.413305,5511410.823,5652000,10310000,115529.6925,140589.177,4578364.906,5395881.131,9569.4768,5386311.654,807946.7481,97.51257649,581027.3001,9/27/2023,Consumer Discretionary
NFLX,2023,297.5467775,35966998.29,36075000,107340000,851234.9505,108001.7094,29774421.14,35115763.34,87032.5851,35028730.76,5254309.613,99.70061896,90947.30423,4/17/2023,Entertainment
GOOG,2023,211.2325947,50163676.95,51493000,108770000,57333.4561,1329323.047,42502575.57,50106343.5,103313.4129,50003030.08,7500454.513,97.41843931,63685.98062,9/12/2023,Technology
ORCL,2023,281.0647916,19741641.84,19910000,55960000,670955.7209,168358.1646,16195596.5,19070686.11,17043.1715,19053642.94,2858046.442,99.15440399,164868.9352,12/4/2023,Technology
ORCL,2023,185.1457253,41681960.02,42237000,78200000,1703070.958,555039.9799,33974432.49,39978889.06,8968.4876,39969920.57,5995488.086,98.68589156,77664.31802,12/4/2023,Technology
ORCL,2023,131.59836,57993839.15,58291000,76710000,2447194.855,297160.8511,47176805.35,55546644.29,44520.3531,55502123.94,8325318.591,99.49021144,56247.14621,2/24/2023,Technology
TSLA,2023,138.9488166,31975348.95,31983000,44440000,1310494.754,7651.0514,25997528.73,30664854.19,79526.2751,30585327.92,4587799.188,99.97607776,102596.1667,7/25/2023,Automotive Technology
NFLX,2023,196.43796,15054028.87,15216000,29890000,153318.8779,161971.1254,12639695.94,14900710,30479.4787,14870230.52,2230534.578,98.935521,215760.3772,6/7/2023,Entertainment
AAPL,2022,277.0187352,35964551.33,36669000,101580000,904992.5446,704448.6749,29742319.97,35059558.78,68594.1104,34990964.67,5248644.701,98.07889859,89472.43175,12/15/2022,Technology
AAPL,2022,215.3873065,33399083.2,34301000,73880000,626892.9609,901916.7956,27795025.58,32772190.24,72160.1495,32700030.09,4905004.514,97.37058163,95656.14414,4/11/2022,Technology
GOOG,2022,155.0210674,5546234.148,5696000,8830000,221157.1227,149765.852,4515173.259,5325077.025,13108.4854,5311968.54,796795.281,97.37068378,576538.2549,5/31/2022,Technology
ORCL,2022,111.3653364,22378171.98,22727000,25310000,196012.315,348828.024,18847839.36,22182159.66,8231.0061,22173928.65,3326089.298,98.46513828,144421.1203,3/20/2022,Technology
GOOG,2022,110.9740138,52300925.4,53490000,59360000,869720.8736,1189074.601,43632782.18,51431204.53,98519.6081,51332684.92,7699902.738,97.77701514,61304.58964,4/15/2022,Technology
TSLA,2022,199.0579461,19964258.22,20381000,40570000,831115.5955,416741.7814,16243763.79,19133142.62,22832.28,19110310.34,2866546.552,97.9552437,161056.5429,9/15/2022,Automotive Technology
ORCL,2022,182.7322827,30500363.71,31029000,56700000,1005646.889,528636.2935,25069469.09,29494716.82,1223.7682,29493493.05,4424023.957,98.2963154,105753.6047,3/19/2022,Technology
NFLX,2022,163.449692,24245441.96,24350000,39800000,196111.6718,104558.0396,20418443.32,24049330.29,27632.2652,24021698.02,3603254.704,99.57060353,134788.3573,11/16/2022,Entertainment
TSLA,2022,230.3167421,17204347.86,17680000,40720000,298084.9578,475652.1411,14359517.18,16906262.9,12713.2748,16893549.63,2534032.444,97.30965984,185676.6686,2/24/2022,Automotive Technology
ORCL,2022,258.1625034,57535753.31,58928000,152130000,2061432.019,1392246.691,47027167.22,55474321.29,148242.2026,55326079.09,8298911.863,97.63737664,55638.04473,5/9/2022,Technology
BABA,2022,81.57664099,43078615.17,43358000,35370000,1046734.835,279384.8348,35714458.23,42031880.33,14870.644,42017009.69,6302551.453,99.35563256,75653.7594,2/4/2022,Consumer Discretionary
AAPL,2022,169.4386694,56295833.49,56758000,96170000,2691563.67,462166.512,45499325.32,53604269.82,75651.7969,53528618.02,8029292.703,99.18572446,57769.0493,5/21/2022,Technology
NVDA,2022,297.501386,51243968.3,52309000,155620000,1402263.343,1065031.702,42251517.32,49841704.96,134037.5207,49707667.43,7456150.115,97.96396088,62690.9442,7/29/2022,Technology
MSFT,2022,67.84900426,49129459.42,50465000,34240000,1191791.88,1335540.579,40652374.61,47937667.54,111344.4694,47826323.07,7173948.461,97.353531,64985.33637,10/2/2022,Technology
MSFT,2022,256.0500437,37426639.34,37727000,96600000,1520025.84,300360.6625,30469116.69,35906613.5,60593.8605,35846019.64,5376902.946,99.20385755,86960.50044,5/2/2022,Technology
NFLX,2022,173.461231,32013791.55,32526000,56420000,731732.443,512208.4478,26581099.46,31282059.11,10177.3872,31271881.72,4690782.258,98.42523382,100881.7223,10/27/2022,Entertainment
ORCL,2022,107.2707458,6314923.792,6423000,6890000,31341.791,108076.2081,5340679.207,6283582.001,429.9932,6283152.008,942472.8012,98.31735625,511270.3098,7/14/2022,Technology
NFLX,2022,176.9296254,55671920.38,56384000,99760000,2758059.853,712079.6204,44868461.71,52913860.53,127434.9873,52786425.54,7917963.831,98.73708921,58152.89976,2/19/2022,Entertainment
AAPL,2022,259.3639419,43824431.83,44933000,116540000,59911.5364,1108568.165,37138482.03,43764520.3,72188.5002,43692331.8,6553849.77,97.53284186,72998.42432,8/29/2022,Technology
NVDA,2022,240.7232434,23073996.91,23284000,56050000,397053.0368,210003.0893,19254249.81,22676943.87,24885.2751,22652058.6,3397808.79,99.09807984,140963.8851,12/1/2022,Technology
